project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
julialang/julia	857	Sat Jun 16 05:02:01 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	927	Sat Jun 16 14:21:53 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	937	Sun Jun 17 04:10:47 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	937	Sun Jun 17 04:31:50 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	924	Sun Jun 17 07:04:55 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	916	Sun Jun 17 07:57:39 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	941	Mon Jun 18 04:26:59 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	943	Mon Jun 18 21:15:39 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	945	Tue Jun 19 04:42:58 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	947	Tue Jun 19 20:45:19 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	948	Tue Jun 19 20:45:29 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	948	Tue Jun 19 21:03:24 MDT 2012	jeffbezanson	1	831	viralbshah, jeffbezanson
julialang/julia	947	Wed Jun 20 04:04:05 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	929	Wed Jun 20 19:08:48 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	930	Wed Jun 20 19:38:11 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	803	Thu Jun 21 01:06:01 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	496	Thu Jun 21 06:13:54 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	625	Thu Jun 21 21:53:57 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	725	Thu Jun 21 21:53:57 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	971	Tue Jun 26 00:41:27 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	974	Tue Jun 26 03:45:33 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	972	Tue Jun 26 15:29:44 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	928	Tue Jun 26 17:12:41 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	984	Wed Jun 27 22:16:45 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	982	Wed Jun 27 22:30:26 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	980	Thu Jun 28 01:03:38 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	984	Thu Jun 28 19:48:24 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	120	Thu Jun 28 23:06:10 MDT 2012	jeffbezanson	1	831	viralbshah, jeffbezanson
julialang/julia	993	Sat Jun 30 04:40:11 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	911	Sat Jun 30 16:41:57 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	942	Sun Jul 01 04:15:41 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	1001	Mon Jul 02 17:46:54 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	1003	Tue Jul 03 02:33:16 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	1004	Tue Jul 03 07:01:43 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	1005	Tue Jul 03 07:18:32 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	1007	Thu Jul 05 06:50:15 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	199	Fri Jul 06 18:22:09 MDT 2012	jeffbezanson	1	831	jeffbezanson
