project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	130	Tue Jan 24 21:21:50 MST 2012	joelrbrandt	1	864	jasonsanjose, joelrbrandt
adobe/brackets	132	Thu Jan 26 17:43:32 MST 2012	joelrbrandt	1	864	jasonsanjose, joelrbrandt
adobe/brackets	132	Thu Jan 26 18:11:40 MST 2012	jasonsanjose	1	864	tvoliter, jasonsanjose, joelrbrandt
adobe/brackets	130	Thu Jan 26 18:12:10 MST 2012	jasonsanjose	1	864	tvoliter, jasonsanjose, joelrbrandt
adobe/brackets	136	Thu Jan 26 18:55:42 MST 2012	joelrbrandt	3	864	joelrbrandt
adobe/brackets	142	Fri Jan 27 00:34:13 MST 2012	njx	6	864	njx
adobe/brackets	140	Fri Jan 27 00:55:09 MST 2012	tvoliter	5	864	tvoliter
adobe/brackets	148	Fri Jan 27 01:46:35 MST 2012	jasonsanjose	6	864	jasonsanjose
adobe/brackets	150	Fri Jan 27 02:34:31 MST 2012	njx	2	864	njx
adobe/brackets	153	Fri Jan 27 20:14:28 MST 2012	peterflynn	3	864	peterflynn
adobe/brackets	152	Fri Jan 27 21:27:31 MST 2012	njx	2	864	njx
adobe/brackets	132	Fri Jan 27 21:42:40 MST 2012	joelrbrandt	1	864	tvoliter, jasonsanjose, joelrbrandt
adobe/brackets	130	Fri Jan 27 21:42:59 MST 2012	tvoliter	1	864	tvoliter, jasonsanjose, joelrbrandt
adobe/brackets	98	Sat Jan 28 00:58:38 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	152	Sat Jan 28 01:21:51 MST 2012	njx	1	864	njx
adobe/brackets	163	Sat Jan 28 01:42:45 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	148	Mon Jan 30 19:59:01 MST 2012	jasonsanjose	3	864	jasonsanjose
adobe/brackets	119	Mon Jan 30 22:13:34 MST 2012	joelrbrandt	4	864	joelrbrandt
adobe/brackets	144	Mon Jan 30 22:34:18 MST 2012	jasonsanjose	2	864	jasonsanjose
adobe/brackets	148	Mon Jan 30 22:39:20 MST 2012	jasonsanjose	1	864	jasonsanjose, njx
adobe/brackets	149	Mon Jan 30 22:42:37 MST 2012	jasonsanjose	1	864	jasonsanjose
adobe/brackets	172	Tue Jan 31 04:33:19 MST 2012	tvoliter	6	864	tvoliter
adobe/brackets	172	Tue Jan 31 18:59:01 MST 2012	tvoliter	1	864	tvoliter, jasonsanjose
adobe/brackets	153	Tue Jan 31 19:37:45 MST 2012	peterflynn	2	864	peterflynn, njx
adobe/brackets	163	Tue Jan 31 21:09:51 MST 2012	peterflynn	2	864	peterflynn
adobe/brackets	179	Tue Jan 31 23:22:08 MST 2012	njx	1	864	njx
adobe/brackets	91	Wed Feb 01 23:33:58 MST 2012	gruehle	6	864	gruehle
adobe/brackets	191	Thu Feb 02 00:40:49 MST 2012	peterflynn	3	864	peterflynn
adobe/brackets	168	Thu Feb 02 18:15:57 MST 2012	jlondon	701	864	jlondon
adobe/brackets	127	Thu Feb 02 21:57:01 MST 2012	njx	1	864	njx, joelrbrandt
adobe/brackets	197	Fri Feb 03 02:32:17 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	51	Fri Feb 03 20:34:06 MST 2012	peterflynn	1	864	peterflynn, jlondon
adobe/brackets	105	Fri Feb 03 21:06:24 MST 2012	redmunds	5	864	redmunds
adobe/brackets	191	Sat Feb 04 01:06:10 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	172	Sat Feb 04 01:11:08 MST 2012	peterflynn	1	864	peterflynn, tvoliter, jasonsanjose
adobe/brackets	154	Sat Feb 04 01:13:56 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	127	Sat Feb 04 02:27:29 MST 2012	joelrbrandt	2	864	njx, joelrbrandt
adobe/brackets	169	Sat Feb 04 20:00:07 MST 2012	njx	5	864	njx
adobe/brackets	211	Tue Feb 07 15:15:15 MST 2012	gruehle	7	864	gruehle
adobe/brackets	216	Tue Feb 07 20:49:41 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	136	Tue Feb 07 23:04:08 MST 2012	joelrbrandt	3	864	joelrbrandt
adobe/brackets	210	Wed Feb 08 17:51:25 MST 2012	tvoliter	7	864	tvoliter
adobe/brackets	219	Wed Feb 08 20:53:38 MST 2012	peterflynn	2	864	peterflynn
adobe/brackets	219	Wed Feb 08 21:05:55 MST 2012	peterflynn	1	864	peterflynn, jasonsanjose
adobe/brackets	223	Wed Feb 08 22:25:29 MST 2012	tvoliter	2	864	tvoliter
adobe/brackets	221	Wed Feb 08 23:26:42 MST 2012	tvoliter	1	864	tvoliter
adobe/brackets	220	Wed Feb 08 23:31:11 MST 2012	gruehle	7	864	gruehle
adobe/brackets	223	Wed Feb 08 23:57:45 MST 2012	tvoliter	1	864	tvoliter, jasonsanjose
adobe/brackets	204	Thu Feb 09 18:21:14 MST 2012	redmunds	8	864	redmunds
adobe/brackets	214	Thu Feb 09 18:22:33 MST 2012	redmunds	7	864	redmunds
adobe/brackets	140	Thu Feb 09 19:23:50 MST 2012	tvoliter	3	864	tvoliter
adobe/brackets	221	Thu Feb 09 21:37:44 MST 2012	tvoliter	1	864	tvoliter, jasonsanjose
adobe/brackets	205	Thu Feb 09 21:46:54 MST 2012	chrisbank	8	864	chrisbank
adobe/brackets	236	Fri Feb 10 00:52:27 MST 2012	jasonsanjose	3	864	jasonsanjose
adobe/brackets	205	Fri Feb 10 04:18:47 MST 2012	chrisbank	1	864	chrisbank, njx
adobe/brackets	203	Fri Feb 10 04:20:54 MST 2012	njx	2	864	njx
adobe/brackets	145	Fri Feb 10 04:40:35 MST 2012	njx	1	864	njx
adobe/brackets	144	Fri Feb 10 20:07:05 MST 2012	jasonsanjose	2	864	jasonsanjose
adobe/brackets	129	Tue Feb 14 00:29:20 MST 2012	njx	5	864	njx
adobe/brackets	251	Tue Feb 14 00:37:22 MST 2012	peterflynn	3	864	peterflynn
adobe/brackets	142	Tue Feb 14 01:01:34 MST 2012	njx	1	864	peterflynn, njx
adobe/brackets	53	Tue Feb 14 01:21:00 MST 2012	peterflynn	1	864	peterflynn, chrisbank
adobe/brackets	150	Tue Feb 14 01:32:53 MST 2012	peterflynn	1	864	peterflynn, njx
adobe/brackets	198	Tue Feb 14 01:36:36 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	212	Tue Feb 14 19:37:01 MST 2012	joelrbrandt	4	864	joelrbrandt
adobe/brackets	193	Tue Feb 14 21:44:48 MST 2012	njx	3	864	njx
adobe/brackets	38	Tue Feb 14 21:48:08 MST 2012	njx	2	864	jasonsanjose, njx
adobe/brackets	245	Tue Feb 14 21:51:33 MST 2012	njx	2	864	njx
adobe/brackets	260	Tue Feb 14 21:53:41 MST 2012	gruehle	7	864	gruehle
adobe/brackets	151	Tue Feb 14 22:15:03 MST 2012	tvoliter	6	864	tvoliter
adobe/brackets	138	Tue Feb 14 22:15:40 MST 2012	chrisbank	9	864	chrisbank
adobe/brackets	187	Wed Feb 15 01:08:41 MST 2012	njx	2	864	njx
adobe/brackets	243	Wed Feb 15 05:08:05 MST 2012	gruehle	3	864	gruehle
adobe/brackets	164	Wed Feb 15 21:31:16 MST 2012	peterflynn	3	864	peterflynn
adobe/brackets	156	Thu Feb 16 01:41:43 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	197	Thu Feb 16 01:46:29 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	157	Thu Feb 16 02:03:01 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	155	Thu Feb 16 23:33:36 MST 2012	peterflynn	1	864	peterflynn
